Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38591233,Only Child,Rhiannon Navin,"Navin, Rhiannon",,,,4,4.22,,Audible Audio,,2018,2018,11/10/18,3/16/18,audible,audible (#73),read,,,,1,1
26094834,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,"Kean, Sam",Sean Runnette,,,2,3.92,Tantor Audio,Audible Audio,13,2010,2010,10/18/18,11/17/17,audible,audible (#75),read,"There were a lot of interesting nuggets in this book, but I don’t feel like the chapters belonged together. It seemed that the author relied on everything relating back to the periodic table rather than creating his own narrative. I wanted to like this book way more than I did.",,,1,1
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,0062678108,9.78006E+12,3,4.15,Harper Voyager,Hardcover,532,2017,2017,9/14/18,12/4/17,botm,botm (#8),read,,,,1,1
34184307,Code Girls: The Untold Story of the American Women Code Breakers Who Helped Win World War II,Liza Mundy,"Mundy, Liza",,0316439894,9.78032E+12,4,3.97,Hachette Books,Hardcover,640,2017,2017,9/10/18,10/10/17,"women-in-science, female-pov, wwii","women-in-science (#3), female-pov (#88), wwii (#13)",read,,,,1,2
36157763,A Connecticut Yankee in King Arthur's Court,Mark Twain,"Twain, Mark",Nick Offerman,,,3,3.77,Audible Studios,Audible Audio,14,2017,1889,10/11/17,9/19/17,"audible, british-isles","audible (#31), british-isles (#11)",read,,,,1,1
18373213,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"Kwan, Kevin",,0345803787,9.78035E+12,5,3.9,Anchor,Paperback,527,2014,2013,9/3/18,8/5/18,mixed-pov,mixed-pov (#15),read,,,,1,1
36374390,Little Moments of Love,Catana Chetwynd,"Chetwynd, Catana",,1449492975,9.78145E+12,5,4.34,Andrews McMeel Publishing,Hardcover,148,2018,2018,,9/3/18,,,read,,,,1,0
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,"Singh, Simon",,0385495323,9.78039E+12,0,4.29,Anchor,Paperback,432,2000,1999,,9/2/18,,,read,,,,1,1
33602148,I Capture the Castle,Dodie Smith,"Smith, Dodie",Jenny Han,1250146690,9.78125E+12,5,4,Wednesday Books,Hardcover,390,2017,1948,8/20/18,7/14/18,"female-pov, british-isles","female-pov (#85), british-isles (#38)",read,"So, so charming! I could not see how this book would end in a way that would make me happy, but Dixie Smith worked wonders and I was so satisfied! Cassandra made me laugh out loud, but was simultaneously so sweet and poignant and likable... all of the characters were. This was a tremendously wonderful read.",,,1,1
27886777,"After You (Me Before You, #2)",Jojo Moyes,"Moyes, Jojo",Anna Acton,,,4,3.74,Penguin Audio,Audible Audio,11,2015,2015,,4/24/18,"audible, female-pov, british-isles","audible (#21), female-pov (#70), british-isles (#31)",read,,,,1,1
26877849,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,"Galbraith, Robert",Robert Glenister,,,5,4.21,Hachette Audio,Audible Audio,18,2015,2015,,4/24/18,"audible, british-isles","audible (#29), british-isles (#34)",read,,,,1,1
25168245,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,"Larson, Erik",Scott Brick,,,3,4.11,Random House Audio,Audible Audio,14,2015,2015,,4/24/18,"audible, british-isles","audible (#28), british-isles (#33)",read,,,,1,1
22567947,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert","J.K. Rowling, Robert Glenister",,,4,4.05,Hatchette Audio,Audible Audio,17,2014,2014,1/1/16,4/24/18,"audible, british-isles","audible (#30), british-isles (#35)",read,,,,1,1
23094491,Persuasion,Jane Austen,"Austen, Jane",Mary Sarah,,,4,4.15,Trout Lake Media,Audible Audio,,2013,1817,1/1/08,4/24/18,"audible, female-pov, british-isles","audible (#25), female-pov (#71), british-isles (#32)",read,,,,1,1
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, Jim Kay",,,5,4.56,Scholastic,Paperback,734,2002,2000,,4/24/18,british-isles,british-isles (#27),read,,,,1,1
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,4,4.5,Scholastic Inc.,Paperback,912,2004,2003,7/1/03,4/24/18,british-isles,british-isles (#28),read,,,,1,1
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,5,4.58,Scholastic Inc,Paperback,652,2006,2005,,4/24/18,british-isles,british-isles (#29),read,,,,1,1
24006547,The One Plus One,Jojo Moyes,"Moyes, Jojo","Elizabeth Bower, Ben Elliot, Nicola Stanton, Steven France",,,4,3.96,Penguin Books,Audible Audio,14,2014,2014,1/1/16,4/24/18,"audible, female-pov, british-isles","audible (#18), female-pov (#66), british-isles (#30)",read,,,,1,1
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9.78044E+12,5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,1/1/99,4/24/18,british-isles,british-isles (#25),read,,,,1,1
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,4/24/18,british-isles,british-isles (#26),read,,,,1,1
34806691,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,,,4,4.06,Atria,Hardcover,426,2018,2017,7/9/18,4/11/18,"botm, female-pov, british-isles","botm (#6), female-pov (#61), british-isles (#23)",read,"I went through this book in two days, and I would have finished it sooner if I didn’t have to go to work! Terrifically creepy.",,,1,1
38108759,West Cork,Sam Bungey,"Bungey, Sam",Jennifer Forde,,,4,3.78,Audible Originals ,Audible Audio,8,2018,2018,3/8/18,3/1/18,"audible, mixed-pov, british-isles","audible (#12), mixed-pov (#11), british-isles (#20)",read,,,,1,1
