Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55812605,Hotel Magnifique,Emily J. Taylor,"Taylor, Emily J.",,"=""0593404513""","=""9780593404515""",0,3.77,Razorbill,Hardcover,400,2022,2022,,2022/03/28,to-read,to-read (#87),to-read,,,,0,0
38907476,Dark Secrets (The Dark Series #1),V.A. Risby,"Risby, V.A.",,"=""""","=""""",0,3.90,,Kindle Edition,361,2018,,,2022/03/28,to-read,to-read (#86),to-read,,,,0,0
58966216,Juniper & Thorn,Ava Reid,"Reid, Ava",,"=""0062973169""","=""9780062973160""",0,3.64,Harper Voyager,Hardcover,368,2022,2022,,2022/03/28,to-read,to-read (#85),to-read,,,,0,0
58736842,"A Light in the Sky (Clashing Skies, #1)",Shina Reynolds,"Reynolds, Shina",,"=""1733451110""","=""9781733451116""",0,3.84,Wink Road Press,Paperback,420,2021,2021,,2022/03/28,to-read,to-read (#84),to-read,,,,0,0
46159063,The Betrayals,Bridget Collins,"Collins, Bridget",,"=""006283813X""","=""9780062838131""",0,3.48,William Morrow,Kindle Edition,419,2021,2020,,2022/03/04,to-read,to-read (#83),to-read,,,,0,0
36118682,"Wicked Saints (Something Dark and Holy, #1)",Emily A. Duncan,"Duncan, Emily A.",,"=""1250195667""","=""9781250195661""",0,3.56,Wednesday Books,Hardcover,385,2019,2019,,2022/03/04,to-read,to-read (#82),to-read,,,,0,0
57282383,"A Shadow in the Ember (Flesh and Fire, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,4.46,Blue Box Press,Hardcover,647,2021,2021,,2022/03/04,to-read,to-read (#81),to-read,,,,0,0
41824023,Over the Top: A Raw Journey to Self-Love,Jonathan Van Ness,"Ness, Jonathan Van",,"=""0062906402""","=""9780062906403""",0,4.19,HarperAudio,Audiobook,6,2019,2019,2022/03/04,2022/01/10,,,read,,,,1,0
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",0,4.43,Disney-Hyperion Books,Hardcover,516,2014,2014,2022/02/15,2021/11/21,,,read,,,,1,0
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,"=""1423146727""","=""9781423146728""",0,4.57,Disney-Hyperion Books,Hardcover,597,2013,2013,2022/02/12,2021/11/21,,,read,,,,1,0
7190,The Three Musketeers,Alexandre Dumas,"Dumas, Alexandre","Richard Pevear, Philip Bates, William Barrow, August Zoller, Marisa Zini, Moshe Ukle, Pierre Toutain-Dorbec, John      Lee, Jacques Georges Clemenc Le Clercq, Natalie Montoto, S.M. Sheley, Daniel Rasmusson, Louis Jourdan, Walter Covell, Michael Page, Michael Hugh Johnson, Sylvie Thorel-Cailleteau, Milo Winter, Bill Homewood, Arthur Paul John Charles James Gore Sudley, S.N. Rizvi, Giorgio Manganelli, William Robson, Isabel Ely Lord, Александр Дюма","=""""","=""""",0,4.10,Modern Library,Paperback,625,2001,1844,,2022/02/06,to-read,to-read (#80),to-read,,,,0,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,"=""0141439602""","=""9780141439600""",0,3.87,Penguin Books,Paperback,489,2003,1859,,2022/02/06,to-read,to-read (#79),to-read,,,,0,0
60133348,"A Legacy of Storms and Starlight (A Legacy of Storms and Starlight, #1)",Victoria J. Price,"Price, Victoria J.",,"=""1916354033""","=""9781916354036""",0,3.85,Victoria J. Price,Paperback,459,2022,,,2022/02/06,to-read,to-read (#78),to-read,,,,0,0
51941042,A Forgery of Roses,Jessica S. Olson,"Olson, Jessica S.",,"=""1335418660""","=""9781335418661""",0,3.73,Inkyard Press,Hardcover,368,2022,2022,,2022/02/06,to-read,to-read (#77),to-read,,,,0,0
45183786,"Foundryside (The Founders Trilogy, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""0525573844""","=""9780525573845""",0,4.17,Del Rey,Paperback,512,2019,2018,,2022/02/06,to-read,to-read (#76),to-read,,,,0,0
50542445,Relic and Ruin,Wendii McIver,"McIver, Wendii",,"=""1989365353""","=""9781989365359""",0,3.79,Wattpad Books,Hardcover,376,2022,2015,,2022/02/06,to-read,to-read (#75),to-read,,,,0,0
56978100,The Girl Who Fell Beneath the Sea,Axie Oh,"Oh, Axie",,"=""1250780861""","=""9781250780867""",0,4.10,Feiwel & Friends,Hardcover,325,2022,2022,,2022/02/06,to-read,to-read (#74),to-read,,,,0,0
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140605""","=""9781423140603""",0,4.47,Disney-Hyperion Books,Hardcover,586,2012,2012,2022/02/04,2021/11/21,,,read,,,,1,0
53138253,"A Vow So Bold and Deadly (Cursebreakers, #3)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""1547602589""","=""9781547602582""",0,3.78,Bloomsbury,Hardcover,408,2021,2021,,2022/02/04,to-read,to-read (#73),to-read,,,,0,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.87,Saga Press,ebook,209,2019,2019,,2022/02/04,to-read,to-read (#72),to-read,,,,0,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.22,Bloomsbury,Hardcover,272,2020,2020,,2022/02/04,to-read,to-read (#71),to-read,,,,0,0
50892212,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,"Gong, Chloe",,"=""1534457690""","=""9781534457690""",0,3.82,Margaret K. McElderry Books,Hardcover,449,2020,2020,,2022/02/04,to-read,to-read (#70),to-read,,,,0,0
44084762,"Our Violent Ends (These Violent Delights, #2)",Chloe Gong,"Gong, Chloe",,"=""1529344565""","=""9781529344561""",0,4.29,Hodder & Stoughton,Hardcover,494,2021,2021,,2022/02/04,to-read,to-read (#69),to-read,,,,0,0
36139392,"Nightblood (Frostblood Saga, #3)",Elly Blake,"Blake, Elly",,"=""0316273341""","=""9780316273343""",0,4.03,"Little, Brown Books for Young Readers",Hardcover,440,2018,2018,,2022/02/04,to-read,to-read (#68),to-read,,,,0,0
27827203,"Frostblood (Frostblood Saga, #1)",Elly Blake,"Blake, Elly",,"=""0316273252""","=""9780316273251""",0,3.83,"Little, Brown",Hardcover,376,2017,2017,,2022/02/04,to-read,to-read (#67),to-read,,,,0,0
42201395,"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,"Rogerson, Margaret",,"=""1481497618""","=""9781481497619""",0,4.05,Margaret K. McElderry Books,Hardcover,456,2019,2019,,2022/02/04,to-read,to-read (#66),to-read,,,,0,0
46261182,"The Awakening (Zodiac Academy, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,3.83,Dark Ink Publishing,Kindle Edition,436,2019,2019,,2022/02/04,to-read,to-read (#65),to-read,,,,0,0
58733682,"Twin Crowns (Twin Crowns, #1)",Catherine Doyle,"Doyle, Catherine",Katherine Webber,"=""0063116138""","=""9780063116139""",0,3.94,Balzer & Bray,Hardcover,480,2022,2022,,2022/02/04,to-read,to-read (#64),to-read,,,,0,0
57578388,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,"=""077831197X""","=""9780778311973""",0,3.76,Park Row,Paperback,352,2022,2021,,2022/02/01,to-read,to-read (#63),to-read,,,,0,0
14290364,"Champion (Legend, #3)",Marie Lu,"Lu, Marie",,"=""0399256776""","=""9780399256776""",0,4.31,Putnam Juvenile,Hardcover,369,2013,2013,,2022/01/10,to-read,to-read (#62),to-read,,,,0,0
43204703,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""1681195089""","=""9781681195087""",0,3.96,Bloomsbury YA,Hardcover,484,2019,2019,,2022/01/10,to-read,to-read (#61),to-read,,,,0,0
42952728,"A Heart So Fierce and Broken (Cursebreakers, #2)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""""","=""""",0,3.88,Bloomsbury YA,Hardcover,450,2020,2020,,2022/01/10,to-read,to-read (#60),to-read,,,,0,0
40024139,"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,"Mahurin, Shelby",,"=""""","=""""",0,3.98,HarperTeen,Hardcover,513,2019,2019,,2022/01/10,to-read,to-read (#59),to-read,,,,0,0
14061955,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,3.81,Henry Holt and Company,Hardcover,435,2013,2013,,2022/01/10,to-read,to-read (#58),to-read,,,,0,0
55148022,Together We Burn,Isabel Ibañez,"Ibañez, Isabel",,"=""1250803357""","=""9781250803351""",0,3.80,Wednesday Books,Hardcover,354,2022,2022,,2022/01/10,to-read,to-read (#57),to-read,,,,0,0
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140591""","=""9781423140597""",0,4.41,Disney-Hyperion Books,Hardcover,521,2011,2011,2021/12/11,2021/11/21,,,read,,,,1,0
54675872,Athena's Child (The Grecian Women Trilogy),Hannah M. Lynn,"Lynn, Hannah M.",,"=""""","=""""",0,3.75,Paper Cat Publishing,Kindle Edition,236,2020,2020,,2021/12/06,to-read,to-read (#56),to-read,,,,0,0
