Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55835474,Nightbitch,Rachel Yoder,"Yoder, Rachel",,"=""0385546815""","=""9780385546812""",0,3.48,Doubleday,Hardcover,256,2021,2021,2023/08/24,2023/02/25,,,read,,,,1,0
60610668,Scorched Grace (Sister Holiday Mystery #1),Margot Douaihy,"Douaihy, Margot",,"=""1638930244""","=""9781638930242""",0,3.20,Zando – Gillian Flynn Books,Hardcover,320,2023,2023,,2023/08/14,to-read,to-read (#325),to-read,,,,0,0
35954609,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0307742482""","=""9780307742483""",4,4.14,Vintage Books,Paperback,377,2018,2017,2023/08/02,2023/07/28,,,read,,,,1,0
61783802,Burnt: A Memoir of Fighting Fire,Clare Frank,"Frank, Clare",,"=""1419763903""","=""9781419763908""",0,4.29,Harry N. Abrams,Hardcover,336,2023,2023,,2023/07/31,to-read,to-read (#324),to-read,,,,0,0
114925665,The Rooster House: A Ukrainian Family Memoir,Victoria Belim,"Belim, Victoria",,"=""""","=""""",0,3.99,Virago,Kindle Edition,288,2023,2022,,2023/07/31,to-read,to-read (#323),to-read,,,,0,0
121224742,Ivan and Phoebe,Oksana Lutsyshyna,"Lutsyshyna, Oksana",Nina Murray,"=""1646052625""","=""9781646052622""",0,3.78,Deep Vellum Publishing,Hardcover,425,2023,2019,,2023/07/31,to-read,to-read (#322),to-read,,,,0,0
43458515,The Early Cases of Hercule Poirot,Agatha Christie,"Christie, Agatha",Charles Armstrong,"=""""","=""""",3,3.94,"Dreamscape Media, LLC",Audible Audio,,2019,1974,2021/04/11,2021/03/24,"audible, british-isles","audible (#144), british-isles (#56)",read,,,,1,0
63241079,Prom Mom,Laura Lippman,"Lippman, Laura",,"=""""","=""""",0,3.34,William Morrow,Hardcover,320,2023,2023,,2023/07/24,to-read,to-read (#321),to-read,,,,0,0
45709388,The World That We Knew,Alice Hoffman,"Hoffman, Alice",Judith Light,"=""""","=""""",0,4.18,Simon & Schuster Audio,Audible Audio,,2019,2019,2023/07/21,2019/09/26,,,read,,,,1,0
40712495,"Oksana, Behave!",Maria Kuznetsova,"Kuznetsova, Maria",,"=""0525511873""","=""9780525511878""",4,3.44,Random House,Hardcover,272,2019,2019,2023/07/23,2023/07/22,,,read,,,,1,0
62919394,Ripe,Sarah Rose Etter,"Etter, Sarah Rose",,"=""1668011638""","=""9781668011638""",0,3.62,Scribner,Hardcover,288,2023,2023,,2023/07/04,to-read,to-read (#320),to-read,,,,0,0
