Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Moriah Jefferson,TOT,G,23,185,23,0,8,0.4,1.8,0.214,0.2,0.8,0.211,0.2,1,0.217,0.4,0.4,0.9,0.1,0.4,1.3,0.3,0,0.3,0.7,1.3
Sika Koné,TOT,F,27,217,27,0,8,1.3,3.1,0.429,0.1,0.3,0.571,1.2,2.9,0.416,1.1,1.3,0.861,0.5,2,0.4,0.2,0.1,0.5,0.9,4
Marina Mabrey,TOT,G,40,1235,40,27,30.9,5.4,13,0.413,2.5,6.5,0.377,2.9,6.5,0.45,1.2,1.7,0.71,0.6,4.4,4.1,1.1,0.4,2.4,2.6,14.4
Odyssey Sims,TOT,G,24,700,24,17,29.2,4.9,10.1,0.483,0.8,2.4,0.345,4,7.7,0.527,2,2.6,0.762,0.7,2.1,5.3,1.2,0.2,2.2,1.5,12.6
Sug Sutton,TOT,G,29,379,29,0,13.1,0.8,2.7,0.304,0.3,1.4,0.244,0.5,1.3,0.368,0.3,0.4,0.692,0.2,1,2.1,0.6,0,1.2,0.9,2.3
Celeste Taylor,TOT,G,22,328,22,4,14.9,1,2.8,0.339,0.3,1.4,0.2,0.7,1.5,0.469,0.5,0.8,0.556,0.3,1.3,1.3,0.7,0.5,1,1,2.6
Rachel Banham,CON,G,21,270,21,0,12.9,1.6,4.5,0.358,1.1,3.1,0.348,0.5,1.4,0.379,0.4,0.5,0.9,0.1,1.2,0.7,0.4,0.2,0.5,1.5,4.8
Morgan Bertsch,PHO,F,8,78,8,0,9.8,0.8,3.4,0.222,0.3,1.8,0.143,0.5,1.6,0.308,0.9,1,0.875,0.9,1.5,0.3,0,0.1,1.1,1.3,2.6
Monique Billings,DAL,F,24,609,24,12,25.4,3.5,7.4,0.475,0,0.3,0.143,3.5,7.1,0.488,1.7,2.1,0.804,1.9,6.6,1.9,0.6,0.5,2.1,2.5,8.8
Crystal Dangerfield,ATL,G,15,211,15,0,14.1,1,3.6,0.278,0.3,1.5,0.217,0.7,2.1,0.323,0.7,0.7,1,0.1,1.1,1.7,0.3,0.2,0.6,0.9,3.1
Queen Egbo,CON,F-C,3,7,3,0,2.3,0,1.7,0,0,0,,0,1.7,0,0.7,0.7,1,0.3,0.7,0,0,0,0,0.3,0.7
Myisha Hines-Allen,WAS,F,27,516,27,10,19.1,3.2,6.5,0.489,0.5,1.4,0.359,2.7,5.1,0.526,1.1,1.3,0.829,1,4.9,2.7,0.6,0.1,1.4,1.9,8
Moriah Jefferson,CON,G,9,61,9,0,6.8,0.7,1.8,0.375,0.3,1,0.333,0.3,0.8,0.429,0.4,0.4,1,0,0.2,0.7,0.7,0,0.2,0.9,2.1
Sika Koné,MIN,F,17,57,17,0,3.4,0.4,1,0.412,0,0,,0.4,1,0.412,0.4,0.5,0.778,0.4,0.7,0.1,0.1,0,0.3,0.3,1.2
Marina Mabrey,CHI,G,24,796,24,24,33.2,5.1,13.5,0.381,2.3,6.7,0.348,2.8,6.8,0.414,1.4,2,0.723,0.7,4.9,4.5,1.2,0.3,2.8,2.7,14
Odyssey Sims,DAL,G,9,305,9,7,33.9,6.8,12.7,0.535,1.8,3.6,0.5,5,9.1,0.549,1.9,2.9,0.654,1.2,2.9,5.6,1.7,0.4,1.8,1.7,17.2
Sug Sutton,PHO,G,22,328,22,0,14.9,1,3.3,0.306,0.5,1.7,0.27,0.5,1.6,0.343,0.4,0.6,0.692,0.3,1.1,2.4,0.6,0,1.3,1.1,2.9
Celeste Taylor,IND,G,5,16,5,0,3.2,0.2,0.2,1,0,0,,0.2,0.2,1,0.2,0.4,0.5,0,0.2,0.2,0,0.2,0.2,0.2,0.6
Queen Egbo,LAS,F-C,2,4,2,0,2,0.5,0.5,1,0,0,,0.5,0.5,1,0,0,,0.5,1.5,0,0.5,0,0,0.5,1
Queen Egbo,LVA,F-C,3,18,3,0,6,1.3,2,0.667,0,0,,1.3,2,0.667,0,0,,0.3,1.7,0,0.7,0.3,0,0.7,2.7
Morgan Bertsch,DAL,F,3,22,3,0,7.3,0,1,0,0,0.3,0,0,0.7,0,0.3,0.7,0.5,0.3,1.7,0,0.3,0,1.3,1.3,0.3
Moriah Jefferson,CHI,G,14,124,14,0,8.9,0.2,1.9,0.115,0.1,0.7,0.1,0.1,1.1,0.125,0.4,0.4,0.833,0.2,0.5,1.7,0.1,0,0.4,0.6,0.9
Odyssey Sims,LAS,G,15,395,15,10,26.3,3.7,8.5,0.438,0.3,1.7,0.154,3.5,6.8,0.51,2.1,2.5,0.838,0.4,1.7,5.1,0.9,0.1,2.4,1.4,9.8
Celeste Taylor,CON,G,2,11,2,0,5.5,0.5,0.5,1,0,0,,0.5,0.5,1,0,0,,0,0,0,0,0,0,2,1
Celeste Taylor,PHO,G,15,301,15,4,20.1,1.3,4,0.317,0.4,2,0.2,0.9,2,0.433,0.6,1.1,0.563,0.4,1.8,1.8,1,0.6,1.4,1.1,3.5
Crystal Dangerfield,LAS,G,18,230,18,5,12.8,1.2,4.3,0.286,0.7,2.2,0.308,0.6,2.1,0.263,0.2,0.3,0.667,0.1,1,2,0.4,0.2,0.9,0.7,3.3
Sika Koné,WAS,F,10,160,10,0,16,2.9,6.7,0.433,0.4,0.7,0.571,2.5,6,0.417,2.4,2.7,0.889,0.7,4.3,1.1,0.4,0.2,0.9,2,8.6
Rachel Banham,CHI,G,16,316,16,9,19.8,2.3,6.7,0.346,1.8,4.8,0.382,0.5,1.9,0.258,0.4,0.6,0.7,0.3,1.8,1.6,0.4,0.1,0.6,1.7,6.9
Sug Sutton,WAS,G,7,51,7,0,7.3,0.3,1,0.286,0,0.6,0,0.3,0.4,0.667,0,0,,0,0.6,1.4,0.3,0,0.7,0.1,0.6
Monique Billings,PHO,F,13,234,13,2,18,1.8,4.1,0.434,0.2,0.5,0.286,1.6,3.5,0.457,1.2,1.5,0.8,1.5,4.2,0.5,0.9,0.5,1.1,1.9,4.9
Marina Mabrey,CON,G,16,439,16,3,27.4,5.7,12.2,0.467,2.6,6.2,0.424,3.1,6,0.51,0.9,1.4,0.682,0.3,3.5,3.4,1,0.6,1.7,2.5,14.9
Myisha Hines-Allen,MIN,F,13,230,13,1,17.7,2.6,5.2,0.5,0.3,0.8,0.364,2.3,4.4,0.526,2,2.4,0.839,1.2,4.2,2.2,0.8,0.2,1.3,2.3,7.5
